judet,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential,country
TOTAL,-38,-21,-13,-34,-33,10,Afghanistan
Buenos Aires,-90,-48,-91,-82,-69,31,Argentina
Buenos Aires Province,-88,-60,-91,-79,-60,26,Argentina
Catamarca Province,-71,-46,-78,-81,-35,29,Argentina
Chaco Province,-79,-63,-83,-92,-48,24,Argentina
Chubut Province,-92,-91,-94,-93,-62,28,Argentina
Cordoba,-88,-66,-90,-91,-57,30,Argentina
Corrientes,-80,-63,-88,-89,-47,25,Argentina
Entre Rios,-87,-65,-93,-90,-54,29,Argentina
Formosa Province,-76,-53,-82,-71,-37,21,Argentina
Jujuy,-80,-55,-83,-92,-44,27,Argentina
La Pampa,-88,-72,-88,-87,-56,28,Argentina
La Rioja Province,-70,-46,-84,-86,-40,26,Argentina
Mendoza Province,-81,-56,-84,-72,-49,29,Argentina
Misiones Province,-83,-66,-85,-92,-51,27,Argentina
Neuquen,-96,-95,-95,-92,-72,33,Argentina
Río Negro,-90,-72,-92,-96,-55,29,Argentina
Salta Province,-82,-55,-84,-76,-47,26,Argentina
San Juan Province,-76,-50,-80,-87,-46,28,Argentina
San Luis Province,-85,-60,-89,-91,-56,29,Argentina
Santa Cruz Province,-83,-62,-88,-91,-56,24,Argentina
Santa Fe Province,-87,-63,-89,-77,-57,29,Argentina
Santiago del Estero Province,-75,-49,-75,-90,-46,25,Argentina
Tierra del Fuego Province,-87,-63,-89,-92,-59,24,Argentina
Tucumán,-81,-53,-78,-90,-51,28,Argentina
TOTAL,-86,-61,-89,-80,-57,27,Argentina
Australian Capital Territory,-40,-3,38,-52,-31,11,Australia
New South Wales,-44,-13,-27,-57,-35,14,Australia
Northern Territory,-35,-13,-20,-55,-23,12,Australia
Queensland,-40,-19,-33,-57,-30,12,Australia
South Australia,-43,-15,-33,-55,-28,12,Australia
Tasmania,-50,-30,-70,-62,-28,13,Australia
Victoria,-51,-26,-55,-68,-37,16,Australia
Western Australia,-40,-16,-37,-55,-26,13,Australia
TOTAL,-45,-19,-35,-58,-33,13,Australia
Burgenland,-83,-36,19,-43,-49,16,Austria
Carinthia,-85,-62,-45,-59,-48,13,Austria
Lower Austria,-82,-36,8,-74,-45,13,Austria
Salzburg,-93,-86,-73,-81,-59,15,Austria
Styria,-86,-61,-42,-71,-47,13,Austria
Tyrol,-95,-86,-82,-85,-65,16,Austria
Upper Austria,-86,-44,-19,-67,-47,13,Austria
Vienna,-85,-52,-44,-71,-52,15,Austria
Vorarlberg,-90,-70,-68,-79,-54,14,Austria
TOTAL,-87,-64,-43,-71,-51,14,Austria
TOTAL,-14,5,41,-7,3,-2,Belarus
Brussels,-89,-65,-64,-82,-62,19,Belgium
Flanders,-82,-46,-65,-74,-50,17,Belgium
Wallonia,-84,-62,-72,-77,-52,16,Belgium
TOTAL,-84,-53,-66,-76,-52,17,Belgium
Federal District,-68,-28,-63,-56,-36,20,Brazil
State of Acre,-68,-20,-56,-75,-22,11,Brazil
State of Alagoas,-77,-43,-79,-76,-35,17,Brazil
State of Amapá,-71,-27,-51,-73,-28,11,Brazil
State of Amazonas,-64,-28,-62,-46,-26,13,Brazil
State of Bahia,-73,-42,-71,-73,-33,17,Brazil
State of Ceará,-76,-34,-71,-68,-33,16,Brazil
State of Espírito Santo,-68,-35,-69,-69,-31,16,Brazil
State of Goiás,-67,-27,-44,-50,-28,15,Brazil
State of Maranhão,-63,-27,-48,-66,-20,11,Brazil
State of Mato Grosso,-63,-30,-44,-59,-22,11,Brazil
State of Mato Grosso do Sul,-68,-33,-56,-68,-26,14,Brazil
State of Minas Gerais,-66,-29,-46,-57,-30,15,Brazil
State of Paraná,-75,-42,-70,-64,-34,17,Brazil
State of Paraíba,-76,-36,-73,-64,-33,17,Brazil
State of Pará,-61,-25,-53,-64,-19,12,Brazil
State of Pernambuco,-74,-35,-72,-59,-35,17,Brazil
State of Piauí,-71,-39,-49,-76,-27,18,Brazil
State of Rio Grande do Norte,-74,-36,-74,-66,-33,19,Brazil
State of Rio Grande do Sul,-75,-39,-73,-67,-36,20,Brazil
State of Rio de Janeiro,-72,-32,-74,-61,-37,17,Brazil
State of Rondônia,-63,-27,-42,-71,-23,12,Brazil
State of Roraima,-68,-25,-51,-72,-24,12,Brazil
State of Santa Catarina,-80,-49,-84,-76,-40,20,Brazil
State of Sergipe,-78,-46,-77,-83,-36,18,Brazil
State of São Paulo,-72,-36,-71,-62,-37,17,Brazil
State of Tocantins,-61,-31,-35,-71,-19,11,Brazil
TOTAL,-71,-35,-70,-62,-34,17,Brazil
Blagoevgrad Province,-74,-47,-32,-55,-43,10,Bulgaria
Burgas,-65,-38,-40,-51,-35,11,Bulgaria
Dobrich Province,-61,-33,-38,NA,-19,18,Bulgaria
Gabrovo,-61,-34,-16,NA,-17,17,Bulgaria
Haskovo Province,-66,-43,-14,-67,-27,13,Bulgaria
Jambol,-58,-44,-42,NA,-20,14,Bulgaria
Kardzhali Province,-71,-48,-27,-76,-39,12,Bulgaria
Kyustendil Province,-57,-39,-35,-46,-24,19,Bulgaria
Lovec,-64,-32,-16,NA,-21,18,Bulgaria
Montana Province,-41,-37,-18,-58,-13,11,Bulgaria
Pazardzhik,-68,-38,-29,-69,-32,13,Bulgaria
Pernik,-58,-31,-37,NA,-21,21,Bulgaria
Pleven Province,-64,-37,-16,NA,-22,14,Bulgaria
Plovdiv Province,-68,-38,-33,-54,-29,12,Bulgaria
Razgrad,-48,-66,NA,NA,-10,11,Bulgaria
Ruse,-58,-36,-14,-43,-25,11,Bulgaria
Shumen Province,-63,-29,-26,-70,-20,20,Bulgaria
Silistra,-37,-23,NA,NA,-12,-3,Bulgaria
Sliven Province,-61,-36,-40,-51,-25,19,Bulgaria
Smoljan,-66,-59,-42,NA,-41,2,Bulgaria
Sofia City Province,-70,-35,-42,-62,-34,15,Bulgaria
Sofia Province,-60,-35,-28,NA,-31,14,Bulgaria
Stara Zagora,-63,-38,-27,-10,-29,10,Bulgaria
Targovishte Province,-63,-31,NA,NA,-19,2,Bulgaria
Varna,-72,-36,-54,-76,-34,12,Bulgaria
Veliko Tarnovo Province,-68,-37,-24,-56,-28,13,Bulgaria
Vidin,-59,-29,NA,NA,-25,NA,Bulgaria
Vraca,-53,-31,-3,-49,-18,21,Bulgaria
TOTAL,-66,-36,-32,-58,-29,11,Bulgaria
Alberta,-55,-29,-23,-63,-41,13,Canada
British Columbia,-54,-28,27,-59,-47,13,Canada
Manitoba,-49,-21,-9,-56,-36,11,Canada
New Brunswick,-42,-20,101,-47,-35,8,Canada
Newfoundland and Labrador,-54,-38,-18,-60,-35,9,Canada
Northwest Territories,-59,-44,NA,-59,-32,NA,Canada
Nova Scotia,-33,-7,95,-45,-32,5,Canada
Nunavut,-47,NA,NA,NA,-32,NA,Canada
Ontario,-59,-33,-14,-66,-46,14,Canada
Prince Edward Island,-43,-19,-51,NA,-34,25,Canada
Quebec,-70,-44,-68,-75,-45,15,Canada
Saskatchewan,-53,-24,45,-52,-37,11,Canada
Yukon,-43,-28,NA,NA,-31,NA,Canada
TOTAL,-59,-35,-16,-66,-44,14,Canada
TOTAL,-73,-55,-72,-64,-42,24,Chile
Bjelovar-Bilogora County,-85,-58,-23,-70,-46,20,Croatia
Brod-Posavina County,-81,-59,NA,-83,-51,23,Croatia
