Date,country,Grocery & pharmacy,Parks,Residential,Retail & recreation,Transit stations,Workplace
2020-02-16,Aruba,-5.711,9.39,3.171,-0.873,-1.236,-9.265
2020-02-16,Australia,2.661,2.495,-0.85,1.416,4.881,6.563
2020-02-16,Belarus,1.862,7.059,-0.22,1.42,4.236,4.888
2020-02-16,Belgium,-0.376,-13.699,0.474,-3.571,0.484,-0.001
2020-02-16,Bosnia and Herzegovina,6.301,20.864,-1.06,5.003,9.11,4.669
2020-02-16,Brazil,1.196,-12.692,0.091,-0.26,6.152,8.251
2020-02-16,Bulgaria,5.705,48.794,-2.308,11.186,12.369,3.606
2020-02-16,Cambodia,-0.14,0.686,1.804,-0.252,-18.999,4.176
2020-02-16,Canada,-2.052,50.08,3.957,2.257,-9.465,-21.286
2020-02-16,Chile,5.293,7.622,0.47,2.098,0.935,-3.834
2020-02-16,Colombia,4.347,-4.682,0.395,-0.518,1.899,7.126
2020-02-16,Croatia,4.777,25.627,-1.223,9.323,7.113,0.94
2020-02-16,Czechia,5.217,23.204,-0.401,8.218,5.507,0.198
2020-02-16,Denmark,-4.376,-19.256,1.422,-5.44,-4.12,-4.369
2020-02-16,Ecuador,1.043,1.745,0.691,2.303,3.177,-1.932
2020-02-16,France,2.092,12.098,1.397,3.468,1.328,-7.238
2020-02-16,Gabon,-6.842,-6.254,1.345,-3.14,-1.344,-0.001
2020-02-16,Germany,6.166,8.476,0.055,4.345,3.619,-1.277
2020-02-16,Greece,3.15,23.324,-0.646,7.595,8.698,2.496
2020-02-16,Guatemala,0.733,0.406,-0.635,2.232,0.346,2.106
2020-02-16,Honduras,5.971,1.53,-1.209,0.62,0.701,4.609
2020-02-16,Hungary,7.136,40.083,-1.268,13.843,12.79,3.1
2020-02-16,Indonesia,-3.143,-6.621,1.477,-3.236,-2.081,2.452
2020-02-16,Iraq,8.293,8.901,-0.332,11.527,13.61,12.154
2020-02-16,Italy,1.514,17.868,-0.805,1.203,7.166,0.839
2020-02-16,Japan,-2.955,-22.012,1.673,-6.1,-6.094,-0.539
2020-02-16,Kenya,-0.633,5.284,-0.007,2.788,5.145,2.946
2020-02-16,Laos,2.937,-2.937,1.637,-1.958,-6.104,6.905
2020-02-16,Latvia,2.42,2.673,0.243,2.523,2.706,0.492
2020-02-16,Lithuania,1.061,22.631,0.633,5.877,8.093,-5.814
2020-02-16,Luxembourg,-2.335,9.922,1.446,-4.963,-3.949,-11.745
2020-02-16,Malta,8.561,23.178,-0.78,5.419,5.929,2.718
2020-02-16,Mexico,4.641,4.843,-1.54,4.656,5.435,5.842
2020-02-16,Mozambique,-3.905,-4.629,-1.409,-2.041,-5.009,6.473
2020-02-16,Netherlands,-4.887,-14.726,1.375,-5.245,-4.027,-4.225
2020-02-16,New Zealand,1.167,-8.271,-0.728,1.167,11.032,13.01
2020-02-16,North Macedonia,8.252,25.501,-0.987,8.886,7.04,10.363
2020-02-16,Norway,1.342,-13.845,1.21,-1.761,-4.421,-7.038
2020-02-16,Papua New Guinea,8.573,-3.713,-0.793,10.083,-0.707,7.579
2020-02-16,Poland,-7.131,18.901,-0.184,8.928,3.818,-0.463
2020-02-16,Qatar,-0.917,12.658,1.18,-1.049,1.915,3.343
2020-02-16,Romania,6.788,18.596,-1.507,8.428,8.396,2.547
2020-02-16,Singapore,-12.083,-13.05,7.224,-15.422,-18.396,-5.419
2020-02-16,Slovakia,5.303,32.689,-0.84,11.51,11.863,-1.946
